day,turnover
2020-12-18,55387.87000000001
2020-12-19,61445.759999999995
2020-12-20,93794.970000000059
2020-12-21,58507.529999999984
2020-12-22,48934.040000000008
2020-12-23,41343.060000000012
2020-12-24,24188.140000000003
2020-12-25,20777.93
2020-12-26,43109.93
2020-12-27,66219.900000000023
2020-12-28,78975.299999999974
2020-12-29,72767.689999999988
2020-12-30,63188.900000000023
2020-12-31,41656.349999999991
2021-01-01,48999.920000000006
2021-01-02,76099.839999999967
2021-01-03,122555.47000000012
2021-01-04,115122.01999999999
2021-01-05,109342.20000000006
2021-01-06,103639.97
2021-01-07,101762.79000000001
2021-01-08,75275.059999999969
2021-01-09,77006.909999999945
2021-01-10,127350.30000000008
2021-01-11,102175.01000000001
2021-01-12,84323.719999999972
2021-01-13,93501.939999999973
2021-01-14,85510.380000000019
2021-01-15,65271.139999999985
2021-01-16,72150.630000000034
2021-01-17,104289.77999999998
2021-01-18,95013.320000000036
2021-01-19,84053.6
2021-01-20,120158.69000000003
2021-01-21,103696.33000000003
2021-01-22,80411.500000000015
2021-01-23,91594.609999999986
2021-01-24,149492.32000000009
2021-01-25,158015.71000000014
2021-01-26,113130.79000000001
2021-01-27,117380.58000000003
2021-01-28,108212.09000000005
2021-01-29,82265.44
2021-01-30,88738.679999999978
2021-01-31,123834.8400000001
2021-02-01,121456.5300000001
2021-02-02,93898.530000000013
2021-02-03,94598.900000000038
2021-02-04,89030.56
2021-02-05,89882.56000000007
2021-02-06,88654.530000000013
2021-02-07,150359.21000000014
2021-02-08,94028.520000000048
2021-02-09,81582.510000000024
2021-02-10,80510.290000000008
2021-02-11,69158.43
2021-02-12,60995.789999999994
2021-02-13,66016.789999999979
2021-02-14,110731.61000000012
2021-02-15,122739.99000000008
2021-02-16,73547.46
2021-02-17,69552.86000000003
2021-02-18,68027.94
2021-02-19,53827.719999999979
2021-02-20,47555.520000000004
2021-02-21,73361.249999999971
2021-02-22,69406.62
2021-02-23,62842.96
2021-02-24,71134.65
2021-02-25,69936.189999999973
2021-02-26,60243.179999999978
2021-02-27,69169.789999999964
2021-02-28,108603.00000000004
2021-03-01,112275.36000000004
2021-03-02,97071.209999999992
2021-03-03,82948.510000000009
2021-03-04,90055.14
2021-03-05,80175.010000000009
2021-03-06,69187.13
2021-03-07,102109.33000000003
2021-03-08,106706.49000000005
2021-03-09,91610.8
2021-03-10,84810.3
2021-03-11,83844.439999999988
2021-03-12,74075.98
2021-03-13,77215.500000000029
2021-03-14,133149.69000000003
2021-03-15,115187.74000000006
2021-03-16,75619.569999999978
2021-03-17,80648.469999999987
2021-03-18,91324.290000000023
2021-03-19,70480.560000000012
2021-03-20,77763.810000000012
2021-03-21,179125.42
2021-03-22,115446.76000000001
2021-03-23,65977.390000000014
2021-03-24,65585.7
2021-03-25,67421.14
2021-03-26,61563.460000000014
2021-03-27,69060.819999999949
2021-03-28,93034.930000000022
2021-03-29,106185.14
2021-03-30,77712.629999999976
2021-03-31,81448.929999999964
2021-04-01,86314.299999999988
2021-04-02,69807.329999999958
2021-04-03,64286.739999999969
2021-04-04,88059.909999999974
2021-04-05,107890.57000000005
2021-04-06,106487.54999999996
2021-04-07,103557.37999999992
2021-04-08,81880.549999999945
2021-04-09,68685.979999999967
2021-04-10,85216.36
2021-04-11,137311.06
2021-04-12,94006.609999999971
2021-04-13,72989.76999999996
2021-04-14,78355.589999999982
2021-04-15,89358.599999999991
2021-04-16,72279.219999999972
2021-04-17,69042.329999999958
2021-04-18,97296.82
2021-04-19,83460.069999999934
2021-04-20,79455.419999999969
2021-04-21,75235.499999999956
2021-04-22,64340.099999999962
2021-04-23,72264.679999999964
2021-04-24,59362.759999999995
2021-04-25,98267.699999999924
2021-04-26,93692.54999999993
2021-04-27,78891.179999999935
2021-04-28,92192.669999999955
2021-04-29,89393.059999999939
2021-04-30,73982.799999999974
2021-05-01,92040.779999999941
2021-05-02,109133.38999999996
2021-05-03,111995.72999999992
2021-05-04,83084.949999999968
2021-05-05,83721.989999999947
2021-05-06,81420.019999999975
2021-05-07,63706.249999999978
2021-05-08,55439.209999999977
2021-05-09,100463.61999999995
2021-05-10,88387.029999999926
2021-05-11,67731.169999999969
2021-05-12,57399.64999999998
2021-05-13,76852.93
2021-05-14,57852.929999999964
2021-05-15,62242.030000000013
2021-05-16,102965.15000000001
2021-05-17,112105.14000000001
2021-05-18,57584.32999999998
2021-05-19,56851.87999999999
2021-05-20,57067.689999999988
2021-05-21,50860.999999999993
2021-05-22,44916.279999999977
2021-05-23,59538.289999999986
2021-05-24,93883.759999999951
2021-05-25,73955.429999999964
2021-05-26,61783.279999999977
2021-05-27,55883.189999999981
2021-05-28,50224.12999999999
2021-05-29,42120.53
2021-05-30,71509.979999999952
2021-05-31,90847.819999999978
2021-06-01,87677.939999999944
2021-06-02,83182.269999999931
2021-06-03,82950.479999999952
2021-06-04,65491.03
2021-06-05,58475.959999999985
2021-06-06,94205.409999999945
2021-06-07,95905.949999999983
2021-06-08,70568.819999999978
2021-06-09,66391.93
2021-06-10,62541.329999999987
2021-06-11,55585.320000000022
2021-06-12,45671.380000000005
2021-06-13,86654.88
2021-06-14,78603.65
2021-06-15,61095.63999999997
2021-06-16,62357.359999999986
2021-06-17,58732.80999999999
2021-06-18,53734.200000000012
2021-06-19,45482.739999999983
2021-06-20,70821.72
2021-06-21,77122.569999999978
2021-06-22,68337.869999999981
2021-06-23,60928.090000000004
2021-06-24,57334.739999999969
2021-06-25,48361.329999999987
2021-06-26,43453.099999999991
2021-06-27,74878.109999999986
2021-06-28,87517.589999999924
2021-06-29,77094.229999999981
2021-06-30,138364.06000000003
2021-07-01,66908.50999999998
2021-07-02,53982.609999999986
2021-07-03,49466.4
2021-07-04,103094.40999999999
2021-07-05,94804.829999999958
2021-07-06,76087.8
2021-07-07,99534.48000000004
2021-07-08,56347.399999999987
2021-07-09,45656.13
2021-07-10,43744.589999999989
2021-07-11,82491.339999999982
2021-07-12,63886.35
2021-07-13,56281.389999999985
2021-07-14,63128.549999999967
2021-07-15,49603.52
2021-07-16,52186.600000000013
2021-07-17,40141.450000000004
2021-07-18,57654.049999999974
2021-07-19,69563.50999999998
2021-07-20,72849.439999999959
2021-07-21,85328.959999999992
2021-07-22,48863.630000000019
2021-07-23,45243.669999999991
2021-07-24,42652.710000000006
2021-07-25,65512.009999999966
2021-07-26,72148.779999999984
2021-07-27,120892.82999999997
2021-07-28,55282.11
2021-07-29,44444.549999999981
2021-07-30,41309.969999999994
2021-07-31,45856.119999999988
2021-08-01,63003.25999999998
2021-08-02,75202.719999999987
2021-08-03,61106.380000000005
2021-08-04,56746.499999999993
2021-08-05,84535.809999999983
2021-08-06,41939.969999999987
2021-08-07,44068.039999999994
2021-08-08,77807.189999999988
2021-08-09,57466.869999999981
2021-08-10,48227.049999999981
2021-08-11,40135.789999999994
2021-08-12,60285.309999999983
2021-08-13,40945.62
2021-08-14,34471.85
2021-08-15,52536.159999999996
2021-08-16,76897.38999999997
2021-08-17,62452.350000000006
2021-08-18,59750.270000000004
2021-08-19,63029.439999999981
2021-08-20,64025.91
2021-08-21,58640.770000000004
2021-08-22,124439.59999999995
2021-08-23,74874.569999999992
2021-08-24,56703.579999999987
2021-08-25,50021.17
2021-08-26,53204.429999999978
2021-08-27,51312.189999999995
2021-08-28,42238.240000000005
2021-08-29,78090.249999999985
2021-08-30,79682.629999999961
2021-08-31,67233.579999999973
2021-09-01,79563.509999999907
